SAPR4;ELET6;VIVT3;MGLU3;;;;;;;;;;;;;;;;
 3,43 ; 28,78 ; 42,57 ; 2,82 ;;;;;;;;;;;;;;;;
 3,44 ; 28,37 ; 42,49 ; 2,78 ;;;;;;;;;;;;;;;;
 3,40 ; 27,09 ; 42,59 ; 2,81 ;;;;;;;;;;;;;;;;
 3,42 ; 26,31 ; 43,09 ; 2,75 ;;;;;;;;;;;;;;;;
 3,45 ; 26,94 ; 43,95 ; 2,83 ;;;;;;;;;;;;;;;;
 3,48 ; 28,15 ; 41,96 ; 2,89 ;;;;;;;;;;;;;;;;
 3,51 ; 27,60 ; 41,52 ; 2,85 ;;;;;;;;;;;;;;;;
 3,51 ; 25,57 ; 41,55 ; 2,80 ;;;;;;;;;;;;;;;;
 3,50 ; 25,45 ; 41,27 ; 2,84 ;;;;;;;;;;;;;;;;
 3,59 ; 25,40 ; 41,08 ; 2,89 ;;;;;;;;;;;;;;;;
 3,52 ; 25,12 ; 40,85 ; 2,83 ;;;;;;;;;;;;;;;;
 3,53 ; 25,50 ; 40,26 ; 2,80 ;;;;;;;;;;;;;;;;
 3,46 ; 24,99 ; 40,48 ; 2,90 ;;;;;;;;;;;;;;;;
 3,53 ; 24,98 ; 40,27 ; 2,97 ;;;;;;;;;;;;;;;;
 3,57 ; 24,78 ; 40,25 ; 2,95 ;;;;;;;;;;;;;;;;
 3,60 ; 26,50 ; 40,80 ; 3,12 ;;;;;;;;;;;;;;;;
 3,58 ; 25,46 ; 41,85 ; 3,01 ;;;;;;;;;;;;;;;;
 3,64 ; 24,30 ; 41,43 ; 3,02 ;;;;;;;;;;;;;;;;
 3,61 ; 24,10 ; 42,78 ; 3,05 ;;;;;;;;;;;;;;;;
 3,60 ; 23,61 ; 43,56 ; 3,05 ;;;;;;;;;;;;;;;;
 3,63 ; 24,09 ; 43,38 ; 3,02 ;;;;;;;;;;;;;;;;
 3,66 ; 24,90 ; 43,99 ; 3,01 ;;;;;;;;;;;;;;;;
 3,73 ; 25,70 ; 43,95 ; 3,08 ;;;;;;;;;;;;;;;;
 3,70 ; 23,60 ; 44,04 ; 3,06 ;;;;;;;;;;;;;;;;
 3,62 ; 22,01 ; 44,03 ; 3,01 ;;;;;;;;;;;;;;;;
